Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jan 28, 2021) 4","Short Ratio (Jan 28, 2021) 4","Short % of Float (Jan 28, 2021) 4","Short % of Shares Outstanding (Jan 28, 2021) 4","Shares Short (prior month Dec 30, 2020) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),ticker,stockId,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,"Shares Short (Aug 30, 2018) 4","Short Ratio (Aug 30, 2018) 4","Short % of Float (Aug 30, 2018) 4","Short % of Shares Outstanding (Aug 30, 2018) 4","Shares Short (prior month Jul 30, 2018) 4"
1.4,,,15.35,6.82,14.18,11.49,12.39M,8.84M,1.02B,1.01B,1.01%,75.88%,35.92M,2.37,4.04%,3.53%,32.16M,0.6,3.92%,0.60,4.05%,3.55,86.96%,"Mar 31, 2021","Mar 16, 2021",11:10,"Jul 11, 2000","Dec 30, 2020","Dec 30, 2020",21.69%,27.74%,0.70%,6.59%,3.77B,3.70,7.90%,3.77B,,717M,0.69,-0.30%,6.77B,6.66,8.54B,,,10.62,,,HBAN,8233,,,,,,,,,,
1.52,,,178.19,56.62,151.71,119.91,554.98k,723.23k,71.2M,58.28M,18.75%,77.08%,1.42M,3.26,2.97%,1.99%,1.14M,,,,,,0.00%,,,3:2,"Dec 04, 1997","Dec 30, 2020","Dec 30, 2020",5.40%,6.66%,2.87%,6.19%,9.55B,134.13,9.00%,2.43B,1.12B,515.6M,49.90,-6.20%,1.34B,18.89,3.07B,35.91,2.26,120.38,,,MHK,8270,,,,,,,,,,
1.5,,,117.0,59.82,108.49,86.04,1.28M,752.71k,48.2M,47.52M,2.30%,102.85%,2.27M,2.08,5.37%,3.11%,3.02M,,,0.69,0.62%,2.31,,"Apr 09, 2020","Mar 25, 2020",,,"Mar 27, 2020","Dec 25, 2020",-6.75%,2.49%,0.88%,-10.19%,4.39B,59.72,-18.20%,3.81B,363.3M,-296M,-4.03,-64.10%,2.79B,38.12,3.71B,137.72,2.55,36.83,341.2M,479.29M,RL,8292,,,,,,,,,,
0.83,,,122.37,64.13,108.16,99.37,1.79M,1.92M,304.19M,302.49M,0.43%,80.53%,3.98M,2.39,1.31%,1.31%,3.71M,2.16,2.09%,2.16,2.06%,1.85,12.48%,"Jan 03, 2021","Nov 26, 2020",2:1,"Jul 01, 1998","Dec 30, 2020","Dec 30, 2020",12.45%,16.82%,3.83%,19.84%,44.79B,143.74,4.80%,14.28B,8.2B,5.46B,17.31,48.00%,8.18B,26.9,7.82B,25.90,0.55,92.92,,,ALL,8350,,,,,,,,,,
0.18,,,328.37,205.2,268.79,291.78,688.27k,702.94k,111.04M,109.84M,1.14%,97.53%,976.58k,1.49,1.23%,0.88%,1.04M,1.86,0.71%,1.86,0.71%,,,"Dec 16, 2020","Nov 17, 2020",,,"Dec 30, 2019","Sep 29, 2020",-0.69%,31.92%,4.51%,,2.06B,18.41,3.00%,1.51B,1.38B,-14.33M,-0.13,4.10%,271.87M,2.45,13.03B,,0.83,-40.26,1.15B,874.54M,SBAC,8358,,,,,,,,,,
1.01,,,681.71,345.67,626.22,626.72,1.13M,897.41k,193.73M,120M,31.95%,75.08%,8.23M,6.82,7.90%,4.25%,10.63M,,,,,,0.00%,,,0:1,"May 17, 2016","Dec 30, 2020","Dec 30, 2020",6.70%,17.46%,3.59%,10.64%,48.1B,236.56,7.30%,21.2B,18.1B,3.22B,15.40,74.50%,998M,5.15,84.16B,277.93,0.40,122.88,14.56B,5.06B,CHTR,8369,,,,,,,,,,
0.81,,,327.89,167.43,272.91,282.74,1.32M,1.13M,221.28M,220.44M,0.28%,88.10%,1.45M,1.25,0.66%,0.66%,1.17M,6,2.27%,5.36,2.04%,2.28,62.84%,"May 09, 2021","Mar 30, 2021",1081:1000,"Oct 02, 2016","Sep 29, 2020","Dec 30, 2020",21.09%,24.92%,6.11%,15.46%,8.98B,40.56,5.30%,3B,3.46B,1.9B,8.51,1.30%,6.21B,28.08,8.05B,61.56,2.95,57.32,3.37B,-61.11M,APD,8378,,,,,,,,,,
0.48,,,105.54,56.12,91.27,95.2,1.2M,1.55M,248.7M,262.32M,0.22%,83.22%,5.32M,3.89,,1.99%,4.6M,1.36,1.62%,1.24,1.43%,1.61,44.60%,"Jan 10, 2021","Dec 29, 2020",2:1,"Nov 30, 2020","Nov 29, 2020","Nov 29, 2020",13.34%,18.37%,5.73%,20.21%,5.6B,21.02,4.90%,2.3B,1.18B,747.4M,2.78,-6.00%,423.6M,1.59,5.05B,128.05,0.68,14.71,1.04B,681.35M,MKC,8392,,,,,,,,,,
2.87,,,101.0,19.25,71.14,68.2,4.47M,5.06M,237.38M,194.63M,16.28%,61.42%,11.2M,2.74,5.63%,4.72%,11.92M,,,1.56,2.08%,2.55,,"Apr 05, 2020","Mar 04, 2020",2:1,"Aug 02, 1998","Dec 30, 2019","Sep 29, 2020",-88.60%,-40.82%,-3.88%,-39.56%,4.69B,22.29,,5.1B,-632.33M,-4.16B,-19.76,,3.02B,13.45,19.68B,236.31,0.76,38.79,-2.3B,-3.9B,RCL,8402,,,,,,,,,,
1.12,,,271.18,137.15,255.36,241.67,1.91M,1.59M,661.13M,633.22M,0.08%,74.38%,4.61M,2.45,0.70%,0.70%,4.36M,3.52,1.38%,3.36,1.30%,1.67,40.39%,"Feb 11, 2021","Jan 12, 2021",10:1,"Dec 29, 2011","Aug 30, 2020","Nov 29, 2020",11.74%,14.84%,11.61%,31.34%,44.73B,70.34,3.50%,13.98B,7.41B,5.25B,8.12,10.60%,8.68B,13.68,3.43B,18.61,1.45,28.26,9.03B,7.28B,ACN,8431,,,,,,,,,,
1.6,,,191.66,76.91,165.95,144.95,413.6k,638.16k,89.29M,86.47M,2.98%,94.42%,950.2k,2.48,1.24%,1.06%,962.78k,,,,,,0.00%,,"Jul 18, 1999",2:1,"Mar 31, 1996","Dec 30, 2019","Dec 30, 2020",5.13%,10.94%,4.22%,21.95%,4.19B,46.90,-7.50%,2.69B,654.6M,214.84M,2.37,76.70%,553.72M,6.2,2.97B,285.94,0.74,11.60,725.67M,619.31M,IT,8432,,,,,,,,,,
0.78,,,456.23,182.07,382.54,380.27,993.78k,912.03k,96.18M,95.6M,0.38%,98.82%,3.76M,3.96,3.94%,3.91%,3.45M,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",25.62%,15.55%,5.60%,36.44%,1.93B,20.41,22.90%,1.28B,354.2M,493.6M,5.06,283.20%,2.71B,28.15,1.85B,101.19,5.58,19.01,475.6M,82.95M,DXCM,8492,,,,,,,,,,
1.31,,,305.66,88.69,251.17,254.09,2.92M,1.83M,265.07M,244.66M,7.64%,74.70%,3.1M,1.04,1.42%,1.17%,2.77M,2.6,1.02%,2.60,1.02%,1.11,21.22%,"Mar 31, 2021","Mar 04, 2021",2:1,"May 06, 1999","May 30, 2020","Nov 29, 2020",3.28%,5.62%,3.48%,12.35%,74.73B,285.23,18.70%,16.84B,7.9B,2.45B,9.26,118.90%,8.34B,31.46,38.45B,182.76,1.75,79.37,8.25B,293.88M,FDX,8500,,,,,,,,,,
0.64,,,72.88,52.66,58.99,63.78,3M,4.57M,343.71M,281.28M,0.71%,89.17%,17.31M,5.21,6.28%,5.04%,13.64M,2.32,4.01%,2.28,3.83%,3.26,62.81%,"Mar 14, 2021","Feb 28, 2021",2:1,"Aug 24, 1997","Jan 01, 2021","Jan 01, 2021",9.09%,13.12%,6.35%,36.37%,13.77B,40.15,7.50%,4.73B,2.29B,1.25B,3.63,41.40%,435M,1.26,8.11B,223.10,0.67,9.05,1.99B,1.44B,K,8510,,,,,,,,,,
0.44,,,606.45,275.5,542.2,524.39,294.51k,208.73k,37.96M,36.35M,2.92%,93.74%,427.88k,1.41,1.30%,1.13%,603.07k,2.64,0.49%,2.40,0.44%,0.62,30.57%,"Feb 23, 2021","Feb 08, 2021",,,"Dec 30, 2020","Dec 30, 2020",43.44%,54.38%,20.49%,34.71%,689.12M,18.45,32.00%,498.15M,408.6M,299.38M,7.85,45.10%,460.86M,12.32,93.61M,9.80,6.19,25.53,,,MKTX,8533,,,,,,,,,,
2.19,,,159.5,29.22,143.81,111.53,1.76M,1.68M,270.02M,268.21M,0.47%,99.99%,3.78M,1.91,1.63%,1.40%,3.82M,,,0.22,0.15%,1.19,3.30%,"Feb 18, 2020","Feb 03, 2020",1193:1000,"Dec 04, 2017","Dec 30, 2020","Dec 30, 2020",13.81%,6.20%,3.27%,30.09%,13.07B,49.60,17.10%,2.06B,1.56B,1.77B,6.66,30.00%,2.82B,10.45,4.5B,55.57,1.85,29.27,1.41B,1.19B,APTV,8604,,,,,,,,,,
1.1,,,16.6,8.16,11.6,10.54,14.59M,13.37M,1.1B,976.12M,,,72.36M,3.86,7.51%,6.60%,106.3M,1,8.38%,,,10.40,,"Dec 10, 2020","Nov 26, 2020",3:2,"Mar 31, 1999","Dec 30, 2020","Dec 30, 2020",-5.95%,17.40%,3.63%,-10.00%,20.71B,19.19,-8.00%,11.78B,8.31B,-1.23B,,,406M,0.38,32.22B,288.62,0.48,,6.52B,1.96B,LUMN,8673,,,,,,,,,,
1.66,,,95.18,36.21,63.37,55.5,1.4M,1.42M,68.51M,70.32M,,,10.37M,7,22.09%,15.14%,9.56M,3.64,6.06%,2.96,4.93%,3.84,59.02%,"Feb 15, 2021","Feb 24, 2021",971:1000,"Jan 20, 2021","Dec 30, 2020","Dec 30, 2020",36.96%,22.72%,1.19%,7.09%,1.03B,14.12,-26.90%,638.99M,569.76M,356.1M,4.87,204.80%,266.06M,3.77,5.42B,98.63,2.39,66.49,,,SLG,8694,,,,,,,,,,
1.26,,,47.77,21.5,44.07,39.19,1.85M,2.02M,263.52M,259.5M,1.34%,83.76%,2.87M,1.47,1.41%,1.09%,3.22M,0.8,1.82%,1.07,2.48%,3.76,,"Feb 22, 2021","Feb 09, 2021",11099:10000,"May 15, 2016","Sep 29, 2020","Dec 30, 2020",-3.86%,7.37%,2.71%,-5.90%,17.56B,67.44,-0.50%,3.2B,2.73B,-677.5M,-2.61,9.70%,253.8M,0.96,9.71B,88.41,1.60,41.64,2.36B,1.55B,WRK,8718,,,,,,,,,,
1.63,,,321.74,89.0,207.66,188.64,15.32M,9.34M,564.53M,532.67M,0.12%,52.89%,11.7M,0.88,2.01%,2.01%,10.61M,,,2.06,0.99%,2.52,,"Mar 05, 2020","Feb 12, 2020",2:1,"Jun 08, 1997","Dec 30, 2020","Dec 30, 2020",-20.42%,-14.89%,-3.79%,,58.16B,102.21,-14.60%,-1.69B,-6.41B,-11.87B,-20.88,,25.59B,43.89,64.93B,,1.39,-31.45,-18.41B,-13.23B,BA,8729,,,,,,,,,,
1.19,,,165.78,85.09,141.72,117.1,858.28k,633.66k,128.29M,127.51M,0.43%,85.02%,1.93M,2.2,1.70%,1.50%,2.24M,4.4,2.93%,4.40,3.00%,2.46,44.27%,"Dec 30, 2020","Feb 25, 2021",10:1,"Oct 05, 2000","Dec 30, 2020","Dec 30, 2020",26.25%,35.66%,1.03%,8.48%,5.15B,40.06,-0.70%,5.15B,,1.28B,9.94,-4.40%,26.29B,204.82,4.44B,,,116.39,,,MTB,8736,,,,,,,,,,
0.91,,,76.9,44.5,64.47,57.63,1.93M,2.19M,214.97M,213.39M,0.83%,96.53%,11.02M,6.13,5.86%,5.13%,10.83M,2.8,4.14%,2.60,3.89%,3.28,59.50%,"Jan 10, 2021","Mar 08, 2021",2:1,"Jun 25, 2007","Dec 30, 2019","Dec 30, 2020",7.10%,13.73%,4.91%,31.86%,13.56B,62.68,-9.30%,2.71B,2.09B,962.3M,4.43,-4.10%,5.6B,26.05,7.32B,193.31,0.98,12.27,1.43B,1.66B,OMC,8755,,,,,,,,,,
0.87,,,60.47,31.58,56.21,49.53,1.28M,2.02M,218.56M,217.83M,0.35%,100.62%,2.7M,1.97,1.41%,1.24%,3.17M,0.4,0.77%,0.40,0.77%,0.68,,"Jan 07, 2021","Dec 22, 2020",2:1,"Jul 17, 2006","Dec 30, 2019","Sep 29, 2020",-2.35%,9.04%,2.21%,-1.61%,3.37B,15.32,-7.00%,2.19B,629.3M,-79.2M,-0.36,-36.70%,1.27B,5.82,2.33B,48.96,2.19,21.79,670.8M,794.84M,XRAY,8788,,,,,,,,,,
1.39,,,387.4,119.01,330.88,294.03,326.08k,341.58k,45.23M,44.24M,2.33%,97.47%,1.5M,3.96,3.81%,3.32%,2.1M,,,,,,0.00%,,,2:1,"Oct 01, 2000","Mar 30, 2020","Dec 30, 2020",24.66%,27.96%,10.82%,17.37%,812.93M,18.03,4.50%,689.58M,250.56M,200.47M,4.39,-10.60%,486.45M,10.76,10.87M,0.86,5.76,27.89,274.7M,159.78M,ABMD,8790,,,,,,,,,,
0.22,,,22.67,13.06,18.19,18.16,5.9M,5.75M,398.58M,390.66M,2.01%,100.75%,21.45M,4.05,6.22%,5.38%,20.97M,0.4,2.16%,0.40,2.21%,1.13,75.47%,"Feb 03, 2021","Jan 19, 2021",2:1,"Aug 14, 2013","Dec 30, 2019","Sep 29, 2020",14.86%,19.77%,4.06%,9.98%,1.46B,3.64,-20.30%,1.33B,688.63M,216.26M,0.53,,170k,0,1.2B,56.47,0.84,5.32,733.37M,-46.94M,COG,8798,,,,,,,,,,
0.78,,,365.85,263.31,297.1,312.87,1.08M,927.44k,166.72M,166.03M,0.48%,83.66%,2.21M,1.84,1.67%,1.33%,1.7M,5.8,1.95%,5.67,1.90%,1.53,29.80%,"Dec 15, 2020","Feb 25, 2021",10000:9035,"Mar 30, 2011","Dec 30, 2020","Dec 30, 2020",8.67%,11.49%,6.18%,32.88%,36.8B,220.22,17.10%,7.48B,5.5B,3.19B,19.03,,4.91B,29.43,16.61B,157.00,1.60,63.46,4.3B,723.5M,NOC,8803,,,,,,,,,,
1.01,,,101.45,44.81,89.38,85.43,3.47M,2.25M,421.71M,394.26M,6.57%,91.41%,4.49M,1.36,1.49%,1.13%,3.32M,0.8,0.86%,0.68,0.73%,,31.34%,"Feb 11, 2021","Jan 27, 2021",3:1,"Jul 12, 2016","Nov 29, 2020","Nov 29, 2020",20.31%,22.12%,3.68%,10.24%,4.29B,10.81,-1.20%,2.7B,1.54B,870.7M,2.17,-25.60%,125.6M,0.32,5.27B,61.70,0.62,21.51,1.14B,1.05B,INFO,8847,,,,,,,,,,
0.65,,,126.17,72.01,94.94,89.81,820.73k,1.09M,108.04M,107.15M,0.53%,84.61%,,,,,,1.68,1.75%,1.08,1.08%,1.24,36.53%,"Dec 14, 2020","Feb 24, 2021",,,"Dec 30, 2020","Dec 30, 2020",13.66%,20.84%,7.68%,13.97%,3.43B,31.41,41.00%,1.25B,864.5M,467M,4.55,1.20%,337.8M,3.13,1.34B,39.89,1.19,28.09,,,CBOE,8855,,,,,,2.55M,2.87,2.98%,2.28%,2.58M
0.35,,,90.89,57.79,72.62,77.61,4.29M,3.78M,815.82M,813.54M,0.28%,69.79%,7.83M,2.2,0.96%,0.96%,7.7M,2.52,3.54%,3.45,4.74%,4.22,190.56%,"Mar 19, 2021","Mar 03, 2021",2:1,"Nov 19, 2007","Dec 30, 2020","Dec 30, 2020",-2.83%,14.50%,,4.28%,14.17B,17.05,-21.30%,5.26B,4.96B,1.41B,-0.56,-32.40%,425M,0.52,38.93B,138.69,,29.35,,,D,8873,,,,,,,,,,
1.12,,,53.6,28.36,47.0,41.77,6.99M,5.67M,1.51B,1.5B,0.09%,75.21%,15.95M,2.02,1.06%,1.06%,12.46M,1.68,3.36%,1.68,3.42%,2.77,54.90%,"Jan 14, 2021","Dec 29, 2020",1265:1000,"Feb 26, 2001","Dec 30, 2020","Dec 30, 2020",25.53%,32.06%,0.95%,9.39%,19.42B,12.87,2.30%,19.42B,,4.62B,3.06,2.20%,62.58B,41.53,53.06B,,,31.26,,,USB,8959,,,,,,,,,,
1.06,,,176.5,89.62,175.78,173.86,716.98k,632.36k,91.84M,91.56M,0.33%,91.72%,3.02M,3.97,4.22%,3.29%,2.51M,,,,,,0.00%,,"Dec 01, 1998",10000:8769,"Jan 29, 2017","Oct 01, 2020","Dec 31, 2020",8.90%,13.63%,5.92%,13.51%,3.12B,34.26,-6.00%,1.38B,524.5M,277.5M,3.03,9.40%,773.3M,8.42,350.5M,15.59,1.51,24.38,512.9M,410.8M,VAR,9006,,,,,,,,,,
0.16,,,664.64,386.84,503.03,546.39,1.03M,1.13M,104.86M,99.4M,2.90%,92.17%,1.94M,1.96,2.50%,1.81%,2.25M,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",42.28%,39.65%,12.88%,31.77%,8.31B,77.23,20.00%,4.64B,3.53B,3.51B,30.52,45.10%,3.59B,34.44,2.71B,24.56,3.62,106.05,2.62B,948.45M,REGN,9007,,,,,,,,,,
1.71,,,120.98,38.0,110.4,86.38,3.35M,3.17M,459M,454.49M,0.89%,92.27%,3.93M,1.07,0.86%,0.86%,4.8M,1.6,1.34%,1.00,0.85%,1.90,19.27%,"Feb 28, 2021","Feb 15, 2021",3:1,"Jun 01, 1999","Dec 30, 2020","Dec 30, 2020",14.86%,17.87%,0.67%,4.60%,18.26B,39.88,26.10%,18.26B,,2.38B,5.18,118.20%,40.51B,88.25,40.54B,,,120.60,,,COF,9037,,,,,,,,,,
1.2,,,427.9,200.61,381.89,378.6,334.89k,233.13k,52.52M,43.88M,13.66%,73.72%,623.94k,1.63,1.66%,1.19%,765.84k,6.12,1.61%,5.94,1.58%,1.99,46.33%,"Feb 28, 2021","Feb 04, 2021",2:1,"Jun 14, 1998","Dec 30, 2020","Dec 30, 2020",5.89%,11.25%,13.49%,36.36%,11.8B,220.51,3.30%,4.24B,1.51B,695M,12.83,63.10%,585M,11.14,2.4B,114.53,2.72,39.85,1.12B,777.25M,GWW,9040,,,,,,,,,,
0.62,,,60.0,41.19,56.45,56.91,6.8M,8.83M,1.41B,1.41B,0.11%,78.63%,11.13M,1.58,0.80%,0.79%,10.24M,1.26,2.32%,1.20,2.14%,1.91,48.58%,"Apr 13, 2021","Mar 29, 2021",,,"Dec 30, 2020","Dec 30, 2020",13.37%,16.20%,4.07%,12.99%,26.58B,18.58,5.60%,10.45B,5.42B,3.56B,2.47,57.70%,3.63B,2.57,21.05B,76.11,0.66,19.43,3.96B,3.84B,MDLZ,9041,,,,,,,,,,
0.91,,,150.3,85.69,143.26,134.35,3.06M,2.21M,287.63M,286.23M,0.39%,93.39%,7.19M,2.51,2.51%,2.50%,8.79M,0.68,0.46%,0.17,0.12%,,4.19%,"Mar 23, 2021","Mar 01, 2021",2:1,"Nov 17, 2003","Mar 30, 2020","Dec 30, 2020",20.79%,22.43%,6.74%,15.51%,5.67B,19.60,5.00%,4.17B,1.43B,1.18B,4.05,-39.00%,6.71B,23.33,1.29B,16.23,2.21,27.61,2.06B,1.77B,EA,9058,,,,,,,,,,
0.63,,,248.86,119.6,236.92,222.68,2.48M,1.94M,710.38M,630.69M,11.28%,81.53%,4.92M,1.81,0.78%,0.69%,4.9M,0.72,0.31%,0.72,0.30%,0.54,14.72%,"Jan 28, 2021","Dec 23, 2020",1319:1000,"Jul 04, 2016","Dec 30, 2020","Dec 30, 2020",16.36%,18.99%,3.83%,10.41%,22.28B,31.56,38.90%,12.47B,6.01B,3.51B,4.89,-2.70%,6.03B,8.49,21.2B,53.31,1.87,51.33,6.21B,4.39B,DHR,9059,,,,,,,,,,
0.41,,,124.91,75.18,107.56,107.01,1.93M,3.9M,163M,160.7M,2.12%,93.55%,7.51M,3.65,5.27%,4.61%,10.26M,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",17.42%,22.57%,6.11%,14.09%,3.2B,19.68,9.60%,2.07B,1.01B,557.05M,3.37,-4.80%,1.1B,6.74,2.78B,65.32,2.55,26.08,1.22B,320.51M,AKAM,9081,,,,,,,,,,
0.1,,,240.75,155.37,226.93,223.19,901.38k,713.91k,174.82M,151.54M,13.29%,82.26%,2.88M,2.97,2.20%,1.65%,3.08M,8,3.41%,8.00,3.40%,3.57,123.27%,"Dec 29, 2020","Dec 13, 2020",,,"Dec 30, 2019","Sep 29, 2020",47.18%,50.42%,8.16%,15.93%,2.95B,16.91,0.50%,2.12B,2.03B,1.13B,6.49,-18.40%,293.96M,1.68,2.5B,29.57,0.73,27.47,2.03B,1.43B,PSA,9082,,,,,,,,,,
0.62,,,59.8,36.27,49.69,50.42,17.76M,16.37M,4.3B,3.87B,0.70%,68.20%,22.72M,1.04,0.53%,0.53%,25.15M,1.64,3.27%,1.64,3.23%,3.22,91.62%,"Dec 14, 2020","Nov 29, 2020",2:1,"Aug 12, 2012","Dec 30, 2020","Dec 30, 2020",23.47%,29.68%,7.05%,36.66%,33.01B,7.69,-5.00%,19.58B,11.33B,7.75B,1.79,-28.70%,10.91B,2.54,42.79B,201.06,1.32,4.49,9.84B,7.1B,KO,9092,,,,,,,,,,
0.25,,,72.22,33.0,60.72,62.63,6.33M,6.6M,803.36M,797.69M,0.28%,84.11%,8.7M,1.48,1.46%,1.08%,6.42M,2.2,3.88%,1.45,2.53%,0.96,31.42%,"Dec 27, 2020","Mar 02, 2021",5:4,"Apr 21, 1994","Dec 30, 2020","Dec 30, 2020",24.61%,28.69%,5.07%,11.35%,11.5B,14.30,14.00%,6.16B,5.72B,2.67B,3.51,45.80%,5.83B,7.28,6.81B,28.52,2.52,28.75,4.88B,4.62B,NEM,9102,,,,,,,,,,
1.31,,,23.25,6.38,20.84,15.29,5.15M,2.79M,459.17M,339.28M,1.58%,93.69%,21.42M,3.94,5.71%,4.66%,31.32M,0.62,2.76%,0.62,2.84%,5.53,68.58%,"Mar 01, 2021","Feb 11, 2021",25:10,"Nov 07, 2000","Dec 30, 2020","Dec 30, 2020",12.39%,21.38%,2.16%,5.43%,6.15B,13.38,-6.50%,1.88B,1.51B,524.8M,1.13,13.10%,1.41B,3.06,2.08B,13.86,,31.15,1.23B,,IVZ,9114,,,,,,,,,,
1.54,,,141.05,42.25,95.78,78.1,4.42M,3.45M,328.13M,325.78M,0.47%,84.75%,16.64M,3.94,6.53%,5.07%,22.29M,5.2,4.75%,6.00,5.63%,5.46,167.13%,"Jan 21, 2021","Dec 22, 2020",1063:1000,"May 28, 2014","Dec 30, 2020","Dec 30, 2020",24.30%,43.07%,3.73%,37.63%,4.58B,14.83,-25.00%,3.69B,3.33B,1.11B,3.59,-30.90%,1.01B,3.08,27.24B,744.59,0.67,9.12,,,SPG,9142,,,,,,,,,,
0.98,,,101.24,41.33,94.63,87.23,893.36k,870.4k,137.03M,127.78M,7.65%,83.14%,4.56M,6.01,4.80%,3.33%,4.74M,2.72,3.02%,2.72,2.97%,2.63,167.90%,"May 16, 2021","Apr 29, 2021",3:2,"Mar 15, 1999","Dec 26, 2020","Dec 26, 2020",4.13%,13.18%,4.58%,7.57%,5.47B,39.82,20.70%,2.79B,985.36M,225.44M,1.62,-60.70%,1.45B,10.55,5.1B,172.20,1.60,21.37,976.34M,946.66M,HAS,9163,,,,,,,,,,
1.53,,,20.47,6.94,18.31,14.49,8.25M,6.85M,960.44M,957.19M,0.42%,75.07%,22.72M,2.73,2.71%,2.37%,21.87M,,,0.62,3.15%,3.01,60.19%,"Mar 31, 2021","Mar 03, 2021",12346:10000,"Jun 30, 2004","Dec 30, 2020","Dec 30, 2020",22.08%,28.17%,0.80%,6.36%,4.95B,5.17,23.80%,4.96B,,991M,1.03,58.40%,17.96B,18.7,3.57B,,,17.14,,,RF,9165,,,,,,,,,,
0.28,,,76.44,46.58,63.85,68.22,2.56M,2.57M,537.3M,536.5M,0.32%,79.15%,4.81M,2,0.90%,0.89%,4.9M,1.83,2.95%,1.72,2.76%,2.89,61.65%,"Jan 19, 2021","Mar 11, 2021",2:1,"Jun 01, 1998","Dec 30, 2020","Dec 30, 2020",12.78%,18.29%,2.52%,10.59%,11.53B,21.87,5.30%,4.91B,4.19B,1.47B,2.79,-1.40%,147M,0.27,22.29B,152.90,0.77,27.14,2.85B,-2.77B,XEL,9297,,,,,,,,,,
0.83,,,393.43,236.68,375.59,343.41,257.65k,220.23k,49.14M,48.82M,0.57%,99.58%,685.13k,2.59,1.80%,1.39%,651.76k,0.06,0.02%,0.06,0.02%,0.02,1.25%,"Feb 08, 2021","Jan 20, 2021",2:1,"Nov 24, 2002","Oct 30, 2020","Oct 30, 2020",9.81%,16.53%,3.86%,6.40%,2.43B,49.51,-1.40%,1.62B,689M,238.4M,4.81,-32.90%,115.9M,2.36,2.08B,54.39,1.27,77.89,486.6M,173.89M,COO,9319,,,,,,,,,,
0.53,,,131.08,75.19,94.94,100.81,1.38M,1.14M,200.23M,199.44M,0.27%,88.35%,2.14M,1.34,1.22%,1.07%,2.91M,3.8,4.08%,3.72,3.96%,4.05,53.91%,"Feb 28, 2021","Feb 10, 2021",,,"Dec 30, 2019","Sep 29, 2020",13.57%,18.75%,2.24%,13.00%,10.21B,51.07,-7.50%,4.27B,3.78B,1.39B,6.89,42.70%,1.24B,6.19,22.06B,200.08,0.59,53.80,3.07B,-471.46M,ETR,9321,,,,,,,,,,
1.21,,,414.72,221.27,394.71,374.82,204.11k,166.6k,46.57M,46.4M,0.34%,92.76%,570.6k,2.76,1.59%,1.23%,632.91k,1.36,0.34%,1.36,0.34%,0.56,17.53%,"Dec 14, 2020","Nov 11, 2020",2:1,"Jun 16, 1997","Dec 30, 2019","Sep 26, 2020",14.66%,17.14%,4.17%,12.05%,2.51B,54.00,-3.10%,1.49B,653.75M,367.01M,7.77,-49.10%,373.28M,8.02,2.22B,68.57,2.99,69.50,388.66M,226.11M,TFX,9391,,,,,,,,,,
1.08,,,12.23,5.48,11.35,8.78,80.2M,52.66M,8.77B,8.74B,0.24%,62.11%,90.32M,1.08,1.04%,1.03%,89.75M,0.04,0.34%,0.04,0.34%,2.78,6.78%,"Jan 24, 2021","Mar 04, 2021",104:100,"Feb 25, 2019","Dec 30, 2020","Dec 30, 2020",7.16%,-0.53%,-0.10%,16.94%,79.62B,9.10,-16.40%,13.51B,5.48B,5.19B,0.58,262.10%,27.93B,3.18,75.07B,202.48,1.58,4.05,3.6B,12.95B,GE,9403,,,,,,,,,,
2.51,,,30.14,7.9,27.32,22.13,3.11M,2.35M,254.59M,252.5M,0.74%,86.81%,6.26M,1.71,2.79%,2.46%,6.27M,,,0.00,0.00%,1.71,,"Apr 13, 2020","Mar 23, 2020",1156:1000,"May 31, 2018","Mar 30, 2020","Dec 30, 2020",-15.67%,4.25%,1.81%,-37.67%,18.16B,71.52,-14.60%,4.68B,2.53B,-2.85B,-11.21,"1,239.00%",3.92B,15.39,7.8B,130.14,1.10,22.23,692M,2.5B,DXC,9425,,,,,,,,,,
