endDate,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,stockId,ticker,type
2020-03-31,10700000,,89300000,,74300000,72100000,167000000,84200000,84200000,-3500000,-2000000,,,,15000000,491500000,407300000,324500000,5100000,,74300000,74300000,7486,WST,quarterly
2020-12-31,7022000000,,18689000000,,15227000000,8145000000,30818000000,15651000000,15651000000,,-53000000,,,,3462000000,56898000000,41247000000,26080000000,3038000000,,15227000000,15227000000,7514,GOOGL,quarterly
2020-09-30,6856000000,,13359000000,,11247000000,6987000000,25056000000,11213000000,11213000000,,-48000000,,,,2112000000,46173000000,34960000000,21117000000,2146000000,,11247000000,11247000000,7514,GOOGL,quarterly
2020-06-30,6875000000,,8277000000,,6959000000,6486000000,19744000000,6383000000,6383000000,,-13000000,,,,1318000000,38297000000,31914000000,18553000000,1894000000,,6959000000,6959000000,7514,GOOGL,quarterly
2020-03-31,6820000000,,7757000000,,6836000000,7380000000,22177000000,7977000000,7977000000,,-21000000,,,,921000000,41159000000,33182000000,18982000000,-220000000,,6836000000,6836000000,7514,GOOGL,quarterly
2020-11-29,,,128800000,,96900000,78900000,223500000,144600000,144600000,,-30000000,,,,31900000,896100000,751500000,672600000,-15800000,,96900000,96900000,7517,LW,quarterly
2020-08-30,,,117300000,,89300000,74100000,229800000,155700000,155700000,,-30300000,,,,28000000,871500000,715800000,641700000,-38400000,,89300000,89300000,7517,LW,quarterly
2020-05-31,15400000.0,,-4400000,,-1600000,53700000,158100000,89000000,89000000,,-29200000,,,,-2800000,846900000,757900000,688800000,-93400000,,-1600000,-1600000,7517,LW,quarterly
2020-02-23,15400000.0,,147100000,,111400000,87900000,250400000,162500000,162500000,,-25200000,,,,35700000,937300000,774800000,686900000,-15400000,,111400000,111400000,7517,LW,quarterly
2021-01-01,121600000,,570900000,,509300000,66600000,761700000,570700000,570700000,,,,,,61600000,1510000000,939300000,748300000,200000,,509300000,509300000,7521,SWKS,quarterly
2020-10-02,126200000,,266100000,,246900000,62300000,458900000,267600000,267600000,,,,,,19200000,956800000,689200000,497900000,-1500000,,246900000,246900000,7521,SWKS,quarterly
2020-06-26,117000000,,144000000,,129700000,55000000,357500000,182700000,182700000,,,,,,14300000,736800000,554100000,379300000,-38700000,,129700000,129700000,7521,SWKS,quarterly
2020-03-27,113200000,,203000000,,181100000,58600000,375600000,200700000,200700000,,,,,,21900000,766100000,565400000,390500000,2300000,,181100000,181100000,7521,SWKS,quarterly
2020-12-31,,,216000000,,176200000,107400000,452900000,252300000,252300000,,-35300000,,,,39800000,713400000,461100000,260500000,-36300000,,176200000,176200000,7524,VRSK,quarterly
2020-09-30,,,240000000,,185800000,95900000,462700000,275900000,275900000,,-35300000,,,,54200000,702700000,426800000,240000000,-35900000,,185800000,185800000,7524,VRSK,quarterly
2020-06-30,,,224800000,,179000000,96400000,443000000,259700000,259700000,,-34200000,,,,45800000,678800000,419100000,235800000,-34900000,,179000000,179000000,7524,VRSK,quarterly
2020-03-31,,,216700000,,171700000,112100000,432100000,232900000,232900000,,-33500000,,,,45000000,689800000,456900000,257700000,-16200000,,171700000,171700000,7524,VRSK,quarterly
2020-12-31,5207000000,,13055000000,,11219000000,4880000000,22862000000,12775000000,12775000000,,,,,,1836000000,28072000000,15297000000,5210000000,280000000,,11219000000,11219000000,7538,FB,quarterly
2020-09-30,4763000000,,8133000000,,7846000000,4473000000,17276000000,8040000000,8040000000,,,,,,287000000,21470000000,13430000000,4194000000,93000000,,7846000000,7846000000,7538,FB,quarterly
